Legacy URL,Tested URL,Expected response,Actual response,Final URL,Redirect hops,Priority,Result,Failures,Evidence
https://sciencedivine.org/,http://127.0.0.1:8081/,200,200,http://127.0.0.1:8081/,0,P0,FAIL,canonical present,PASS: initial status (expected 200; received 200) | PASS: no redirect loop (no loop) | PASS: no redirect (0 redirect hop(s)) | PASS: title present (initial HTML title) | PASS: H1 present (initial HTML H1) | FAIL: canonical present (missing) | PASS: indexable (no noindex directive) | PASS: server-rendered content (main element text length >= 100)
https://sciencedivine.org/personal-session/,http://127.0.0.1:8081/personal-session/,200,307,http://127.0.0.1:8081/personal-session,1,P1,FAIL,initial status | no redirect | title present | H1 present | canonical present | server-rendered content,FAIL: initial status (expected 200; received 307) | PASS: no redirect loop (no loop) | FAIL: no redirect (1 redirect hop(s)) | FAIL: title present (initial HTML title) | FAIL: H1 present (initial HTML H1) | FAIL: canonical present (missing) | PASS: indexable (no noindex directive) | FAIL: server-rendered content (main element text length >= 100)
https://sciencedivine.org/donation/,http://127.0.0.1:8081/donation/,200,307,http://127.0.0.1:8081/donation,1,P0,FAIL,initial status | no redirect | title present | H1 present | canonical present | server-rendered content,FAIL: initial status (expected 200; received 307) | PASS: no redirect loop (no loop) | FAIL: no redirect (1 redirect hop(s)) | FAIL: title present (initial HTML title) | FAIL: H1 present (initial HTML H1) | FAIL: canonical present (missing) | PASS: indexable (no noindex directive) | FAIL: server-rendered content (main element text length >= 100)
https://sciencedivine.org/spirituality-and-materialism/,http://127.0.0.1:8081/spirituality-and-materialism/,200,307,http://127.0.0.1:8081/spirituality-and-materialism,1,P1,FAIL,initial status | no redirect | title present | H1 present | canonical present | server-rendered content,FAIL: initial status (expected 200; received 307) | PASS: no redirect loop (no loop) | FAIL: no redirect (1 redirect hop(s)) | FAIL: title present (initial HTML title) | FAIL: H1 present (initial HTML H1) | FAIL: canonical present (missing) | PASS: indexable (no noindex directive) | FAIL: server-rendered content (main element text length >= 100)
https://sciencedivine.org/public/dominoqq/,http://127.0.0.1:8081/public/dominoqq/,410,307,http://127.0.0.1:8081/public/dominoqq,1,P0,FAIL,initial status | no redirect,FAIL: initial status (expected 410; received 307) | PASS: no redirect loop (no loop) | FAIL: no redirect (1 redirect hop(s)) | PASS: removed from sitemap (/public/dominoqq/)
https://sciencedivine.org/not-a-real-page-qa/,http://127.0.0.1:8081/not-a-real-page-qa/,404,307,http://127.0.0.1:8081/not-a-real-page-qa,1,P1,FAIL,initial status | no redirect,FAIL: initial status (expected 404; received 307) | PASS: no redirect loop (no loop) | FAIL: no redirect (1 redirect hop(s)) | PASS: removed from sitemap (/not-a-real-page-qa/)
